DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Nov-2025,EQ,"3,848.00","3,874.30","3,821.50","3,829.20","3,863.90","3,868.60","3,859.27","3,877.00","2,925.00",504928,"1,94,86,51,813.80",36355
14-Nov-2025,EQ,"3,839.20","3,854.70","3,800.00","3,839.20","3,816.10","3,829.20","3,822.33","3,877.00","2,925.00",575050,"2,19,80,29,846.20",52894
13-Nov-2025,EQ,"3,860.00","3,867.90","3,817.00","3,851.10","3,839.30","3,839.20","3,839.26","3,877.00","2,925.00",668623,"2,56,70,19,950.80",46378
12-Nov-2025,EQ,"3,838.00","3,877.00","3,804.20","3,812.40","3,834.00","3,851.10","3,854.93","3,877.00","2,925.00",805025,"3,10,33,15,362.40",77241
11-Nov-2025,EQ,"3,810.50","3,820.00","3,752.10","3,803.00","3,809.10","3,812.40","3,792.60","3,837.70","2,925.00",668789,"2,53,64,48,558.50",42317
10-Nov-2025,EQ,"3,788.00","3,815.00","3,769.30","3,769.30","3,800.00","3,803.00","3,799.84","3,837.70","2,925.00",599567,"2,27,82,58,786.50",38351
07-Nov-2025,EQ,"3,766.00","3,792.00","3,736.00","3,774.40","3,768.00","3,769.30","3,769.48","3,837.70","2,925.00",728998,"2,74,79,40,771.30",44483
06-Nov-2025,EQ,"3,780.00","3,837.70","3,761.60","3,813.50","3,770.00","3,774.40","3,792.65","3,837.70","2,925.00",927231,"3,51,66,64,336.00",66738
04-Nov-2025,EQ,"3,724.50","3,827.00","3,715.00","3,724.50","3,810.00","3,813.50","3,796.02","3,827.00","2,925.00",2524600,"9,58,34,31,974.60",145802
03-Nov-2025,EQ,"3,730.00","3,762.00","3,667.30","3,746.70","3,731.40","3,724.50","3,721.20","3,800.00","2,925.00",1119367,"4,16,53,89,760.60",73994
31-Oct-2025,EQ,"3,758.90","3,783.00","3,739.50","3,750.70","3,743.10","3,746.70","3,758.79","3,800.00","2,925.00",900994,"3,38,66,49,048.00",50278
30-Oct-2025,EQ,"3,745.00","3,773.90","3,720.10","3,748.30","3,753.40","3,750.70","3,747.68","3,800.00","2,925.00",544151,"2,03,93,03,251.40",45411
29-Oct-2025,EQ,"3,734.20","3,753.50","3,714.20","3,717.00","3,742.00","3,748.30","3,739.07","3,800.00","2,925.00",789557,"2,95,22,06,172.80",53913
28-Oct-2025,EQ,"3,750.00","3,770.00","3,688.10","3,739.80","3,737.00","3,717.00","3,715.96","3,800.00","2,925.00",1482961,"5,51,06,18,181.30",88448
27-Oct-2025,EQ,"3,714.00","3,753.90","3,710.00","3,714.90","3,733.00","3,739.80","3,735.78","3,800.00","2,925.00",856124,"3,19,82,87,834.50",66145
24-Oct-2025,EQ,"3,775.00","3,781.00","3,706.10","3,772.30","3,718.00","3,714.90","3,724.38","3,800.00","2,925.00",563296,"2,09,79,28,277.80",55383
23-Oct-2025,EQ,"3,765.00","3,800.00","3,738.30","3,729.00","3,763.30","3,772.30","3,771.34","3,800.00","2,925.00",1622402,"6,11,86,22,056.80",132329
21-Oct-2025,EQ,"3,737.20","3,746.00","3,719.00","3,737.20","3,743.30","3,729.00","3,733.71","3,749.90","2,925.00",156306,"58,36,01,050.80",11529
20-Oct-2025,EQ,"3,680.00","3,749.90","3,676.20","3,674.80","3,737.90","3,737.20","3,714.09","3,749.90","2,925.00",707974,"2,62,94,79,551.70",65105
17-Oct-2025,EQ,"3,635.00","3,715.00","3,633.00","3,640.30","3,670.00","3,674.80","3,687.22","3,740.00","2,925.00",1123500,"4,14,25,93,242.70",79482
