DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
07-Nov-2025,EQ,"1,292.40","1,327.30","1,288.20","1,292.40","1,322.00","1,321.50","1,310.30","1,859.40","1,135.00",666465,"87,32,69,657.70",26605
06-Nov-2025,EQ,"1,356.00","1,372.60","1,288.10","1,359.40","1,299.00","1,292.40","1,318.19","1,859.40","1,135.00",1703216,"2,24,51,60,823.40",75049
04-Nov-2025,EQ,"1,360.00","1,379.70","1,355.00","1,365.70","1,355.00","1,359.40","1,363.20","1,859.40","1,135.00",834615,"1,13,77,47,551.70",29379
03-Nov-2025,EQ,"1,375.00","1,386.80","1,352.60","1,383.60","1,369.60","1,365.70","1,364.00","1,859.40","1,135.00",658410,"89,80,74,330.60",25408
31-Oct-2025,EQ,"1,419.80","1,423.90","1,379.00","1,419.80","1,380.30","1,383.60","1,404.99","1,859.40","1,135.00",1115615,"1,56,74,26,871.60",31497
30-Oct-2025,EQ,"1,410.00","1,425.20","1,400.00","1,418.80","1,415.30","1,419.80","1,414.24","1,859.40","1,135.00",941460,"1,33,14,52,657.80",28618
29-Oct-2025,EQ,"1,415.00","1,425.90","1,386.70","1,428.40","1,420.80","1,418.80","1,412.16","1,859.40","1,135.00",613025,"86,56,91,078.40",23481
28-Oct-2025,EQ,"1,431.00","1,435.90","1,404.40","1,436.60","1,430.00","1,428.40","1,417.69","1,859.40","1,135.00",1157671,"1,64,12,16,440.90",40338
27-Oct-2025,EQ,"1,433.00","1,445.40","1,421.00","1,441.40","1,430.00","1,436.60","1,432.64","1,859.40","1,135.00",1206234,"1,72,80,96,953.40",39586
24-Oct-2025,EQ,"1,431.20","1,450.00","1,431.20","1,431.20","1,438.70","1,441.40","1,442.09","1,877.95","1,135.00",539503,"77,80,14,494.90",25542
23-Oct-2025,EQ,"1,450.00","1,463.80","1,427.70","1,455.80","1,436.30","1,431.20","1,441.71","1,877.95","1,135.00",1121329,"1,61,66,35,969.80",45688
